Title,Author,Rating
The Deluge,Stephen Markley,"4.18 avg rating — 1,519 ratings"
Ordinary Notes,Christina Sharpe,4.70 avg rating — 142 ratings
Our Ride To Forever,Julie Olivia,"4.20 avg rating — 1,677 ratings"
"A Kiss From a Kraken (Kiss From a Monster, #2)",Charlotte Swan,3.66 avg rating — 334 ratings
"Unnatural History (Alex Delaware, #38)",Jonathan Kellerman,"4.13 avg rating — 8,514 ratings"
Little Monsters #10,Jeff Lemire,4.27 avg rating — 52 ratings
"Burn Butterfly Burn (Masked Duet, #2)",Reese Rivers,"4.26 avg rating — 6,958 ratings"
"Mastering the Art of French Murder (An American in Paris, #1)",Colleen Cambridge,"3.70 avg rating — 2,022 ratings"
Zero Days,Ruth Ware,3.70 avg rating — 905 ratings
"Reign (American Royals, #4)",Katharine McGee,4.12 avg rating — 165 ratings
"Crossed (Never After, #5)",Emily McIntire,4.45 avg rating — 53 ratings
Birnam Wood,Eleanor Catton,"3.89 avg rating — 8,314 ratings"
"Grim and Bear It (Stay a Spell, #6)",Juliette Cross,"4.28 avg rating — 2,661 ratings"
Psyche and Eros,Luna McNamara,3.75 avg rating — 574 ratings
Sing Her Down,Ivy Pochoda,3.57 avg rating — 371 ratings
Her Father's Daughter,T.M. Dunn,3.89 avg rating — 76 ratings
Fire Rush,Jacqueline  Crooks,3.80 avg rating — 858 ratings
Beware the Woman,Megan Abbott,"3.47 avg rating — 1,502 ratings"
"The Choice (Star-Crossed Lovers Duet, #1)",Ashley Jade,"4.44 avg rating — 5,212 ratings"
"Queen of Lust (Becoming Lust, #3)",Emilia  Rose,4.71 avg rating — 17 ratings
Hearts Forged in Dragon Fire,Erica Hollis,4.02 avg rating — 44 ratings
A Shadow in Moscow,Katherine Reay,4.50 avg rating — 206 ratings
The Captain's Curse,Lisa Kessler,4.53 avg rating — 73 ratings
A Study in Drowning,Ava Reid,4.36 avg rating — 293 ratings
Small World,Laura Zigman,"3.52 avg rating — 2,825 ratings"
"Better Hate than Never (The Wilmot Sisters, #2)",Chloe Liese,4.32 avg rating — 114 ratings
The Half Moon,Mary Beth Keane,"3.45 avg rating — 6,900 ratings"
"Ivy Touched and Bronze Blade (World of Honey and Ice, #2)",Shannon Mayer,4.55 avg rating — 711 ratings
Unfair Play: The Battle For Women's Sport,Sharron Davies,liked it 3.00 avg rating — 2 ratings
"Cold Light of Day (Missing in Alaska, #1)",Elizabeth Goddard,4.37 avg rating — 635 ratings
"Something Old, Something New",Amy Clipston,3.94 avg rating — 722 ratings
Rubi Ramos's Recipe for Success,Jessica Parra,3.95 avg rating — 350 ratings
Call and Response,Gothataone Moeng,3.59 avg rating — 134 ratings
Gone to the Wolves,John Wray,3.80 avg rating — 166 ratings
"Right Man, Right Time (The Vancouver Agitators, #3)",Meghan Quinn,"4.16 avg rating — 39,561 ratings"
"Court of Greed and Gold (The Shadow Bound Queen, #2)",Eliza Raine,"4.20 avg rating — 3,931 ratings"
The Wishing Game,Meg Shaffer,"4.35 avg rating — 4,746 ratings"
"The Loner's Prize (Happily Ever After Mountain, #1)",Cassi Hart,3.80 avg rating — 218 ratings
Hex You,P.C. Cast,3.96 avg rating — 491 ratings
"Once Upon an Orc (Return of the Horde, #4)",Dani Wyatt,4.08 avg rating — 143 ratings
I'm Not Charlotte Lucas,Kasey Stockton,"3.97 avg rating — 1,027 ratings"
"The King's Shadow (Gates of Myth and Power, #2)",K.M. Shea,"4.36 avg rating — 6,392 ratings"
"Under Fire (Defend and Protect, #3)",Lynn H. Blackburn,4.52 avg rating — 591 ratings
Time to Think: The Inside Story of the Collapse of the Tavistock's Gender Service for Children,Hannah Barnes,4.64 avg rating — 459 ratings
Unexpected: The Backstory of Finding Elizabeth Smart and Growing Up in the Culture of an American Religion,Chris Thomas,3.98 avg rating — 164 ratings
Rouge,Mona Awad,4.24 avg rating — 192 ratings
Just as You Are,Camille Kellogg,"3.91 avg rating — 1,027 ratings"
The Delicate Art of Death,Ryan McGinnis,4.44 avg rating — 16 ratings
Transcendent: Art and Dharma in a Time of Collapse,Curtis White,3.11 avg rating — 9 ratings
An American Story,Kwame Alexander,4.66 avg rating — 723 ratings
Chick Magnet,Emma Barry,"3.92 avg rating — 1,039 ratings"
